name,price,det,link
Heat Shrink Φ 15mm - 1 Meter,15.00 EGP,Black Color,/shop/h-sh-15mm-b-heat-shrink-ph-15mm-1-meter-9401?page=2
Heat Shrink Φ 10mm - 1 Meter,10.00 EGP,Black Color,/shop/h-sh-10mm-b-heat-shrink-ph-10mm-1-meter-9400?page=2
eSUN® TPU-95A 3D Printer Filament (1.75mm) - 1Kg Roll,"1,650.00 EGP",,/shop/esun-r-tpu-95a-3d-printer-filament-1-75mm-1kg-roll-9397?page=2
eSUN® PLA+ 3D Printer Filament (1.75mm) - 1Kg Roll,875.00 EGP,,/shop/esun-r-pla-3d-printer-filament-1-75mm-1kg-roll-9396?page=2
eSUN® ABS 3D Printer Filament (1.75mm) - 1Kg Roll,850.00 EGP,,/shop/esun-r-abs-3d-printer-filament-1-75mm-1kg-roll-9395?page=2
Round Small Single Test Hook Clip 57mm - Red Color (SKU#AD57R),12.00 EGP,No description,/shop/ad57-test-hook-57mm-red-round-small-single-test-hook-clip-57mm-red-color-sku-ad57r-9381?page=2
Round Small Single Test Hook Clip 57mm - Black Color (SKU#AD57B),12.00 EGP,No description,/shop/ad57-test-hook-57mm-black-round-small-single-test-hook-clip-57mm-black-color-sku-ad57b-9380?page=2
Round Small Single Test Hook Clip 43mm - Black Color (SKU#AD43B),9.00 EGP,No description,/shop/ad43-test-hook-43mm-black-round-small-single-test-hook-clip-43mm-black-color-sku-ad43b-9379?page=2
Round Small Single Test Hook Clip 43mm - Red Color (SKU#AD43R),9.00 EGP,No description,/shop/ad43-test-hook-43mm-red-round-small-single-test-hook-clip-43mm-red-color-sku-ad43r-9378?page=2
Spot Welding Roll 7mm Nickel 0.12x7mm - 99.96% Pure Nickel (10m/roll),200.00 EGP,"Pure Nickel Plate Strap Strip Sheets
Thickness: 0.12mm",/shop/spot-welding-roll-7mm-spot-welding-roll-7mm-nickel-0-12x7mm-99-96-pure-nickel-10m-roll-9377?page=2
SS40A - Linear Hall Effect Sensor - Bipolar,45.00 EGP,,/shop/ss40a-ss40a-linear-hall-effect-sensor-bipolar-9363?page=2
Thermal Fuse 250V/10A,12.00 EGP,No description,/shop/thermal-fuse-250v-10a-9362?page=2
KWS-302WF 1-Phase 63A V/A ac Protector - 8 in1 Power Meter & Protector with WiFi Connection,"1,450.00 EGP","Adjustable Over Under Voltage Protector
With Temperature Monitoring Protection",/shop/kws302wf-63a-protector-kws-302wf-1-phase-63a-v-a-ac-protector-8-in1-power-meter-protector-with-wifi-connection-9361?page=2
Eco SMPS Output +5Vdc/10A Input 220Vac,350.00 EGP,No description,/shop/smps-eco-5v-10a-eco-smps-output-5vdc-10a-input-220vac-9353?page=2
AS-10 Photocell Switch 220Vac - Automatic Day Light Switch Control,110.00 EGP,Waterproof Street Road Light Auto Operated Controle Switch,/shop/as10-220vac-10a-as-10-photocell-switch-220vac-automatic-day-light-switch-control-9350?page=2
X-JL0176A PIR Motion Sensor Light Switch 220Vac,125.00 EGP,With Light Control Terminal Line,/shop/kit-pir-xjl0176a-220vac-x-jl0176a-pir-motion-sensor-light-switch-220vac-9349?page=2
Servo Motor Metal Arm Horn 35mm Long Type 25T AL Alloy,40.00 EGP,"For Servo Motors: MG995, MG996, and Similar Models",/shop/servo-horn-long-25t-servo-motor-metal-arm-horn-35mm-long-type-25t-al-alloy-9342?page=2
JGB37-520 DC Geared Motor 12Vdc 110 rpm Complete Set With Encoder,950.00 EGP,Include: Motor With Encoder + Bracket + Coupling + 65mm Wheel,/shop/dc-jgb37-12v-set-110rpm-jgb37-520-dc-geared-motor-12vdc-110-rpm-complete-set-with-encoder-9326?page=2
JGB37-520 DC Geared Motor 12Vdc 37 rpm Complete Set With Encoder,950.00 EGP,Include: Motor With Encoder + Bracket + Coupling + 65mm Wheel,/shop/dc-jgb37-12v-set-37rpm-jgb37-520-dc-geared-motor-12vdc-37-rpm-complete-set-with-encoder-9325?page=2
JGB37-520 DC Geared Motor 6Vdc 166 rpm Complete Set With Encoder,850.00 EGP,Include: Motor With Encoder + Bracket + Coupling + 65mm Wheel,/shop/dc-jgb37-6v-set-166rpm-jgb37-520-dc-geared-motor-6vdc-166-rpm-complete-set-with-encoder-9324?page=2
JGB37-520 DC Geared Motor 6Vdc 30 rpm Complete Set With Encoder,850.00 EGP,Include: Motor With Encoder + Bracket + Coupling + 65mm Wheel,/shop/dc-jgb37-6v-set-30rpm-jgb37-520-dc-geared-motor-6vdc-30-rpm-complete-set-with-encoder-9323?page=2
4WD Robot Car Chassis Kit with Speed Encoder Wheels 2 Floor,425.00 EGP,Robot Smart Car 4WD,/shop/ro-base-4wd-2floor-4wd-robot-car-chassis-kit-with-speed-encoder-wheels-2-floor-9320?page=2
Kit Resistor 2W - 230 Carbon Resistors 2W,385.00 EGP,,/shop/kit-resistor-2w-kit-resistor-2w-230-carbon-resistors-2w-9307?page=2
Kit Resistor 1/4W - 100 Carbon Resistors 1% Tolerance 1/4W,25.00 EGP,,/shop/kit-resistor-100-kit-resistor-1-4w-100-carbon-resistors-1-tolerance-1-4w-9306?page=2
Bag of Heat Shrink 164pcs/set Color,50.00 EGP,Tubing Insulation Shrinkable Tube,/shop/h-sh-set-164-color-bag-of-heat-shrink-164pcs-set-color-9303?page=2
FNIRSI® FD10 Car OBD2 Scanner Clear Error OBD Diagnostic Tool,"1,250.00 EGP",,/shop/obd-fd10-fnirsi-r-fd10-car-obd2-scanner-clear-error-obd-diagnostic-tool-9288?page=2
WiFi Arduino MEGA2560 With ESP8266,"1,650.00 EGP",USB-TTL CH340G,/shop/kit-esp8266-mega-wifi-wifi-arduino-mega2560-with-esp8266-9287?page=2
WiFi Arduino UNO ATmega328P R3 With ESP8266,550.00 EGP,USB-TTL CH340G,/shop/kit-esp8266-uno-wifi-wifi-arduino-uno-atmega328p-r3-with-esp8266-9286?page=3
ESP32-C3 Super Mini Board,350.00 EGP,No description,/shop/kit-esp32-c3-mini-esp32-c3-super-mini-board-9283?page=3
ESP-32S 38Pin Development Board WiFi Bluetooth with New CP2102 Chip,385.00 EGP,"Module 38-Pin
ESP-WROOM-32",/shop/kit-esp32-esp32s-38pin-esp-32s-38pin-development-board-wifi-bluetooth-with-new-cp2102-chip-9279?page=3
Ribbon FFC Camera Adapter Cable 30cm For Raspberry Pi 5,250.00 EGP,Raspberry Pi 5 Camera Cable - 300mm,/shop/rpi5-cam-ffc-30cm-cable-ribbon-ffc-camera-adapter-cable-30cm-for-raspberry-pi-5-9258?page=3
Raspberry Pi 5 Camera Module 5MP,450.00 EGP,5MP resolution with Omnivision 1/4” OV5647 CMOS sensor,/shop/rpi5-camera-5mp-raspberry-pi-5-camera-module-5mp-9257?page=3
Raspberry Pi Zero 2 W,"2,100.00 EGP",No description,/shop/raspberry-pi-zero-2w-raspberry-pi-zero-2-w-9256?page=3
GM65 QR & Barcode Scanner Reader Module,"2,500.00 EGP",1D 2D Code Scanner Bar Code Reader,/shop/kit-gm65-grow-scanner-gm65-qr-barcode-scanner-reader-module-9252?page=3
Arduino UNO Rev3 SMD Chip (SMD35) - Clone,300.00 EGP,SMD MEGA328P + CH340 Original Chip,/shop/kit-arduino-uno-smd35-arduino-uno-rev3-smd-chip-smd35-clone-9245?page=3
Arduino UNO Rev3 (B50) - Clone,375.00 EGP,No description,/shop/kit-arduino-uno-b50-arduino-uno-rev3-b50-clone-9244?page=3
STC1000 12Vdc Thermostat Temperature Control,300.00 EGP,Thermometer Programmable Controller 12Vdc,/shop/stc1000-12vdc-temp-control-stc1000-12vdc-thermostat-temperature-control-9243?page=3
"YFS201 G1/2"" Water Flow Meter Sensor",200.00 EGP,Flowmeter G1/2 1-30L/min 5-15V,/shop/sen-yfs201-water-flow-yfs201-g1-2-water-flow-meter-sensor-9231?page=3
